Etanol | Indicador Diário do Etanol Hidratado ESALQ/BM&FBovespa Posto Paulínia (SP);;
Nota;"CIF Paulínia, sem impostos
Excepcionalidade: No dia 08/05/2013, foi considerado o indicador do dia anterior.
* Nota sobre alteração do recolhimento de PIS/Cofins do etanol";
Fonte;Cepea;
Data;À vista R$;À vista US$
02/01/2026;3.056,5000;563,7200
05/01/2026;3.096,0000;573,1200
06/01/2026;3.113,5000;578,9300
07/01/2026;3.118,0000;578,5900
08/01/2026;3.132,5000;581,0600
09/01/2026;3.145,5000;586,0800
12/01/2026;3.161,5000;588,7300
13/01/2026;3.152,5000;585,9700
14/01/2026;3.158,0000;584,9200
15/01/2026;3.165,5000;590,3600
16/01/2026;3.175,0000;591,0300
19/01/2026;3.176,5000;592,1900
20/01/2026;3.169,0000;589,2500
21/01/2026;3.163,5000;594,7500
22/01/2026;3.164,5000;599,0000
23/01/2026;3.183,0000;602,0400
26/01/2026;3.186,0000;603,2900
27/01/2026;3.170,5000;609,1300
28/01/2026;3.171,0000;607,9400
29/01/2026;3.156,0000;607,8600
30/01/2026;3.157,5000;601,3100
02/02/2026;3.153,0000;599,7700
03/02/2026;3.160,0000;603,1700
04/02/2026;3.146,5000;598,0800
05/02/2026;3.136,5000;597,0900
06/02/2026;3.143,0000;602,1100
09/02/2026;3.135,0000;604,2800
10/02/2026;3.130,5000;601,9000
11/02/2026;3.131,5000;603,8400
12/02/2026;3.119,0000;599,5800
13/02/2026;3.100,0000;593,3000
18/02/2026;3.085,5000;588,2700
19/02/2026;3.083,0000;590,0500
20/02/2026;3.009,0000;581,0000
23/02/2026;2.973,5000;575,3700
24/02/2026;2.955,5000;573,3300
25/02/2026;2.946,5000;574,7000
26/02/2026;2.954,0000;574,2600
27/02/2026;2.970,5000;578,2600
02/03/2026;3.003,0000;580,9600
03/03/2026;3.020,0000;572,9500
04/03/2026;3.029,0000;580,3800
05/03/2026;3.023,0000;572,3200
06/03/2026;3.016,0000;574,4800
09/03/2026;3.049,5000;589,6200
10/03/2026;3.051,5000;591,2600
11/03/2026;3.040,0000;588,6900
12/03/2026;3.047,0000;581,8200
13/03/2026;3.043,0000;572,7500
16/03/2026;3.047,0000;582,6000
17/03/2026;3.039,5000;583,8500
18/03/2026;3.023,0000;578,2300
19/03/2026;3.050,0000;584,8500
20/03/2026;3.044,5000;572,3800
23/03/2026;3.056,0000;583,9900
24/03/2026;3.050,5000;580,2700
